n13439570 n13489037
n3657121 n4014297
v1254912 v173338
v2552449 v2552449
n5518257 n5515670
v2277448 v2321757
n3971771 n20090
n13657244 n13603305
n14896714 n14894140
n4436401 n3323703
v1229976 v1229976
n15234942 n15154774
n2620443 n1432517
a1740085 a1740085
v656107 v657260
n5484355 n5327767
v1773130 v1771535
n10541106 n10633450
n462804 n455599
n1914609 n1905661
n9673091 n9644820
v1347172 v146138
n4172230 n3875218
a1964933 a1964933
v196252 v195342
n7832099 n7809096
a2574481 a2574481
n14568359 n5823932
n2864987 n3154446
a1788048 a1788048
n15010038 n14607521
r388944 r388944
a629997 a629997
n2056228 n2021795
n2850358 n3057021
n11645590 n13108662
n2154742 n2153445
n6896716 n6894544
a1367431 a1367431
v519363 v519056
a1939984 a1939984
n9443136 n9258715
n9350922 n9350922
a2417611 a2417611
n1440160 n1428580
a904548 a904548
n12095934 n12205694
v1680913 v1686132
n4147291 n3094503
n11909353 n11567411
n423222 n410247
n14363027 n14052403
n3163081 n3163081
n3045800 n3045800
n10081670 n10287213
n594260 n582388
n1625417 n1507175
n1698434 n1661091
n10937126 n10937126
a2114296 a2114296
n5582859 n5267345
a1563923 a1563923
n134099 n349369
n17222 n17222
n10746460 n10605985
a1524344 a1524344
n10345422 n10576962
n12957298 n7992450
n14270380 n14052403
n11718681 n11718681
n5773548 n5770926
v1240308 v1240308
n2345890 n8108972
r447865 r447865
r18265 r18265
n14627246 n14622893
n653171 n633864
n13051346 n12997654
a581401 a581401
n7714802 n7705711
n14882117 n14881303
n7181935 n7180787
v1846658 v1846916
n3946723 n4038727
n10154740 n10794014
r144405 r144405
n1381285 n7992450
n378985 n378985
n6113914 n6090869
n6231191 n5946687
n7504529 n26192
n8841667 n8841667
n10443955 n10529231
n14461519 n14460565
n12707781 n12651821
n9482715 n9482715
n1322983 n1321579
n11356392 n11356392
n14857151 n14856263
n1816140 n1789386
v1871680 v1871680
v1714805 v1714208
n15136453 n15118228
n1880716 n1873982
n4279063 n3699975
n14029686 n14034177
n4969242 n4959672
n2370806 n2370806
n148653 n145218
a351523 a351523
n15161430 n15183802
n7347224 n7345593
n1841102 n1838038
v328679 v140123
r433247 r433247
n5807012 n5805475
n1190561 n1181475
n7386821 n7382572
a654983 a654983
v353639 v2431320
a2153817 a2153817
n9418169 n9418169
v137940 v137313
n11704093 n11703669
n6304671 n6304671
n8454003 n7951464
a2765640 a2765640
n6882138 n5765159
n10042074 n9620078
n14054642 n14052403
n12732756 n13109733
n13696893 n13696652
n15024606 n14728724
n5268255 n5267345
n8375912 n7942152
r472830 r472830
v729642 v726300
n9359312 n9359312
a2285278 a2285278
n11900986 n11567411
a1597387 a1597387
n11008462 n11008462
n13222877 n11545524
a2299889 a2299889
n8973064 n8973064
n2140179 n1886756
v280112 v282933
n11513761 n11490638
n7117333 n6284225
n13780719 n13780719
n7700255 n7555863
n8336355 n8329453
n4001265 n4531098
n8782847 n8782847
n10129719 n9815790
n535956 n534849
n109081 n106272
r217998 r217998
n13486520 n13526110
v2718178 v2657219
a2824444 a2824444
n3320421 n4110955
n9398935 n9224911
n7714895 n7705711
n6338003 n6338003
n3236580 n4531098
a2501534 a2501534
n5689645 n5686481
n1796870 n1507175
n2081282 n7992450
n6015505 n5796750
n9830400 n9623038
a93275 a93275
n81836 n41899
n5411338 n5397468
r203353 r203353
r242961 r242961
a1030289 a1030289
n4568298 n3178782
n8429052 n8430203
n810498 n809465
v2420606 v2410855
n10580772 n10317007
a2358762 a2358762
n9746536 n9738708
n12370549 n12370549
n13682221 n13682221
n8361329 n8361329
a410449 a410449
a2403030 a2403030
n5978472 n5941423
n11297595 n11297595
n10502762 n9824361
n3466493 n4552696
n5004532 n5002822
a2383709 a2383709
n4607141 n3961939
n7288385 n7285403
a1426273 a1426273
n6172294 n6153846
a292611 a292611
n3789014 n3178782
n11131808 n11131808
a34924 a34924
v2659358 v2659358
n7675962 n7555863
n12648888 n12641413
n13315077 n13396054
a1005306 a1005306
a1695749 a1695749
n13741022 n13728499
n9589585 n9589585
n4270765 n3895293
n10903722 n10903722
n13716084 n13716084
n12188120 n11567411
n10056611 n9763784
n3079230 n3744840
v754560 v1041762
n3525372 n4340935
v412511 v412511
n1782209 n1769347
a1044922 a1044922
n14304722 n5823932
n7636384 n7635155
n14955559 n15010703
n11106943 n11106943
n12418680 n7992450
v1689379 v1690294
n10589140 n10466918
n496167 n455599
n9154000 n9154000
r276225 r276225
a747226 a747226
n9805475 n9805475
n14211985 n14204950
a326608 a326608
n10188146 n9606009
v1930482 v1912159
v1313780 v1378556
n2957252 n3664675
n2996840 n3740161
n5616786 n5616786
n12115180 n12102133
n6955560 n6904171
n2188065 n8106934
n2668393 n4451818
a688296 a688296
n2213543 n2212602
n11777080 n13112664
a228025 a228025
n8302919 n8077292
n13388000 n13386614
n2272428 n1762525
n14711008 n14727670
n4705536 n5062748
n11263687 n11263687
n9129062 n9129062
n13545382 n29677
n15293227 n13575869
v2611373 v2611373
n1527055 n1507175
n1796800 n1795088
v544280 v371264
n6739990 n6739990
n4304557 n2852523
n10687516 n10676018
v2395194 v2406585
n7661357 n7555863
n8743229 n8743229
n13789002 n13783581
n726567 n722061
a2310771 a2310771
v1700149 v1699896
n5161436 n5144079
n14759003 n14759003
n12634211 n12634211
n13340080 n6479665
n6436443 n6436443
n12839574 n12839574
a3039556 a3039556
n5846626 n5846054
n10878375 n10878375
n2477647 n8108972
n2898269 n3489162
n13281275 n13275847
n364440 n351485
n2536685 n1428580
v2684254 v2684924
n3491491 n3491491
n7905618 n7881800
n10286539 n9626031
n7807002 n7557434
n12404314 n7992450
a3064520 a3064520
n8013845 n8013845
n2463024 n5267345
n7142242 n7133701
n10976708 n10976708
a1490505 a1490505
n4921308 n4921308
n8611421 n8652970
n2982232 n2982232
v1641341 v1640855
n1381399 n8106934
n1566645 n1525720
a2319129 a2319129
n4632157 n4635104
n5543177 n5543177
n3550289 n3285912
v1978436 v1970826
n9311259 n9311259
a1656129 a1656129
n751529 n751145
a2080318 a2080318
a2981329 a2981329
r301495 r301495
n13329641 n13329641
n981830 n955060
n942234 n942234
n2839910 n3094503
a2726017 a2726017
a1886407 a1886407
n569361 n566135
a2995972 a2995972
n1415139 n1413942
n3946814 n3740161
n3907227 n3907227
n4461437 n3449564
n6750339 n6722453
n14980579 n14980579
a2226979 a2226979
n9600188 n9600188
n11973888 n11567411
n2791532 n3391770
a2633877 a2633877
v1479009 v1478603
n15268239 n15180528
v1470670 v1470225
n3393324 n4586932
n14666885 n14662574
n8072104 n8054721
a2956371 a2956371
n7846688 n7843775
n3368352 n8674739
n8718253 n8718253
a879030 a879030
v2493511 v2486932
n1723883 n1661091
a1465583 a1465583
n12982338 n8108972
n7602996 n7555863
n15220267 n13575869
v2106006 v2106006
n1552034 n1546921
a2897524 a2897524
n7240417 n7241205
r349454 r349454
n10140169 n10480253
v221718 v220869
n4074185 n3094503
n10614629 n10614629
n10771392 n10771392
n9017168 n9017168
a1622748 a1622748
n7181842 n7181546
n3070854 n3574816
n5209822 n4723816
n9227428 n9335240
v1787709 v1789514
n1092403 n1092403
n7010541 n7007684
n6534659 n6667317
n14186541 n14171682
n7313814 n7313814
v681125 v1645601
n5641720 n5648247
n6461406 n6429590
v911917 v797430
n11224046 n11224046
n7479144 n7478874
n3682024 n4334599
n7748276 n7705711
n4935904 n4934546
n6857122 n7028373
n1987545 n1974773
n12154773 n13104059
v1083373 v1108148
n8170535 n8168978
n5602132 n5297523
n12864545 n12205694
n1591697 n1591697
v695761 v699815
n1454702 n1429349
n4534895 n3636248
n7773238 n7555863
n12140137 n11556857
n14691822 n20090
n4245703 n3670849
n8948155 n8948155
n9325824 n9416076
r276279 r276279
r57892 r57892
n11934239 n11669921
v485435 v484166
n3716091 n3282591
n339463 n339463
a1221057 a1221057
v2625916 v109660
v1504480 v1090335
n12600888 n11567411
n5871618 n5870916
a1176695 a1176695
n13026339 n8108972
n14750622 n5397468
n4730580 n5093890
n6509675 n6643408
v1097960 v746718
n13065902 n8106934
n2766534 n2766534
n4994264 n4993882
n7577538 n7573696
n5557723 n5556943
n6147308 n5999797
a2212352 a2212352
r408205 r408205
a497964 a497964
n4088797 n3736970
n11488160 n11419404
r82842 r82842
v510869 v508032
n858377 n13440063
n14088127 n14052403
v1181559 v1182709
v2086805 v2086805
n10771539 n10412055
a2114190 a2114190
v2277303 v2321757
n5220126 n5216365
n9746637 n9738708
v78316 v78401
v269889 v114837
n2620318 n1429349
n11179797 n11179797
n9081688 n9081688
n7714990 n7705711
n10962041 n10962041
n7700348 n7555863
n14363139 n5823932
n7905474 n7881800
n7930433 n7881800
n6520092 n6472025
n2379329 n2377703
n5773407 n5770926
a3137958 a3137958
n7097965 n6387980
n10555825 n10599354
a1813400 a1813400
n2129604 n2127808
n10384935 n10560637
n8900204 n8900204
n692840 n1024392
v2361811 v2327200
n9457693 n11425580
v30366 v1802494
a845528 a845528
n13848052 n14429985
r203201 r203201
n3657239 n3111899
n7010393 n7007684
r217857 r217857
a2692229 a2692229
n11934463 n11669921
a160957 a160957
v2322230 v2322230
n9976728 n7846
a1622908 a1622908
n4147364 n3177349
n437788 n36762
v1156568 v1155687
n9707061 n9686536
a2021905 a2021905
a2667275 a2667275
n897989 n894552
n8914850 n8914850
n8493705 n8493705
a615457 a615457
a121376 a121376
n10359988 n10423589
n207622 n206927
n13486431 n13446390
n2115012 n2083346
n9056677 n9056677
n12766043 n12651821
n7386920 n7371293
n10154871 n10154871
v255272 v443116
n10541229 n10541229
r408375 r408375
a1103844 a1103844
n1199035 n1181475
n1625562 n1604330
n5234737 n5225602
v1347298 v1347298
n2345997 n2329401
v2336807 v2336483
n5930574 n5930574
n9878275 n9878275
n173761 n44150
n5352601 n5246511
n3031306 n14991712
v196364 v258857
n14270241 n5823932
a1524445 a1524445
v2743020 v2604760
n13912992 n5062748
n1650509 n8108972
n2095727 n2087122
n13413493 n13413493
n5327652 n5267345
n2154620 n2153445
n10115271 n9623038
v2757651 v2756821
n4593185 n2852523
a2549393 a2549393
n594374 n582388
n8889521 n8889521
n9541526 n9540430
r119357 r119357
n11165164 n11165164
n4475900 n3670849
n3045928 n3691817
r183998 r183998
n11008313 n11008313
n9252586 n19128
n10746581 n10099375
v959827 v959827
n4436329 n3988170
n10844805 n10844805
n13256303 n14488317
n10345302 n10466918
n8659242 n8659076
n4172342 n4467307
n3932203 n3892891
v519229 v126264
n10418841 n9610660
a3050012 a3050012
n3334912 n3700963
v754731 v754731
n148762 n145218
n2536456 n1428580
a688413 a688413
n4509815 n3282591
n10443830 n9927451
r158936 r158936
n14857278 n14856263
n6896623 n6894544
v2718015 v2718015
n11190183 n11190183
n10878161 n10878161
n11454953 n11417672
r433363 r433363
n2331309 n2331309
n7661273 n7555863
n6980465 n6904171
n13755822 n13576355
n4607242 n3093574
n1816017 n1789386
n9771664 n9771664
a2765730 a2765730
v970215 v968211
n10370381 n10370381
a326436 a326436
v729781 v726300
a1729566 a1729566
n11415342 n11410625
a194357 a194357
n6882009 n5765159
n2247511 n2246011
n4279172 n3699975
n6798187 n6797169
n11743772 n11743294
n8277393 n8277393
a2153705 a2153705
n7347373 n7345593
n15063108 n14625458
n13222985 n11545524
n785045 n768701
n1782378 n1762525
n378880 n376063
n10404242 n10101634
n8145701 n8189659
n13584918 n13583724
n14054762 n14052403
n2898478 n8578706
n9418059 n9418059
v2243967 v2257370
v328579 v140123
n12129986 n12102133
n9648176 n9648176
n13682330 n13682221
a2608902 a2608902
n10589243 n10787470
n14461679 n14460565
n364260 n351485
n7156819 n7156819
n6304576 n6286395
v294884 v224901
n9687775 n9686536
n8684294 n8684294
n4040759 n3738472
n1151097 n1123598
n1488038 n1480516
n1855672 n1844917
n4015786 n3574816
a1030372 a1030372
v1616460 v1475953
n3887330 n3183080
n15077752 n14974264
n10648033 n4475
n4001132 n2932019
n9732047 n9641757
v426958 v426958
n4876985 n4876985
n7288485 n7285403
n5268112 n5267345
a2128736 a2128736
n10129825 n10129825
n3550420 n3679384
n7978423 n7951464
n917211 n915722
n2115096 n2083346
n11381457 n11381457
a3064693 a3064693
n14113471 n5207130
a292750 a292750
a2790726 a2790726
a2344241 a2344241
n7431119 n7289014
a253196 a253196
n232604 n231567
n8429167 n8429167
r242810 r242810
a2922814 a2922814
a977372 a977372
v945255 v983824
a2824585 a2824585
a1078302 a1078302
n11802586 n11802212
n4862382 n4861486
n3236423 n2792552
n12345495 n7992450
n11047961 n11047961
a351420 a351420
n1165692 n1146576
a2383831 a2383831
n2140049 n1886756
n11513631 n11419404
a2358898 a2358898
n8468721 n7965085
n4960729 n4960079
v1871546 v1891249
a1695891 a1695891
v2013840 v2013571
n9805324 n9617867
n12286581 n11567411
n5411430 n5397468
n6270879 n6392001
n4402984 n3088707
n13090871 n13086908
n9193705 n9366317
a267774 a267774
a1656253 a1656253
n12213635 n7992450
n13971382 n13969243
n6666486 n6665108
a2515993 a2515993
n2996703 n3740161
n13315191 n13396054
n14916053 n15049096
v740053 v740053
n8757791 n8757791
n6691442 n6686736
v1543998 v1543998
n4270891 n3574816
a228173 a228173
a458266 a458266
n11106830 n11106830
a1490603 a1490603
n1126151 n1124794
v2468618 v2467662
n6955418 n6904171
a2751058 a2751058
n13814601 n13813042
a943999 a943999
v2659222 v2659222
n5175904 n5175904
n521450 n429048
n4231272 n3050026
n12443736 n11669921
n2272552 n2159955
n2438173 n2394477
n14955682 n15010703
n13099194 n13086908
v715074 v352826
n799537 n795720
n9384223 n9384223
a3039648 a3039648
n12609379 n13121544
n13388111 n13387877
n3853924 n2834778
n2957135 n3323703
n5293040 n5297523
n8743125 n8743125
v2698726 v360932
v2145543 v2144835
n7807171 n7557434
n11033358 n11033358
n148836 n145218
n13570236 n13518963
n2306433 n2306433
n5832113 n5827684
n9168707 n9168707
n13789136 n13783581
n10213652 n10060175
n10805274 n9681351
n2898369 n4341686
n13124654 n17222
n4705671 n5062748
n3525454 n3525827
a517010 a517010
n11356512 n11356512
n3177708 n3183080
n4304680 n2796623
n6593099 n6591442
a2285407 a2285407
n5871792 n5870916
v583759 v583759
n1395885 n8108972
n3320262 n13868248
n11263558 n11263558
a1465668 a1465668
n13197507 n11545524
n5700401 n5833840
n5807147 n5805475
n8086821 n8086356
a2310895 a2310895
n11875523 n11875523
n12188289 n13104059
v1058224 v2172888
n1322898 n1321579
n8987879 n8987879
n8454191 n7951464
a1392249 a1392249
n7215568 n7213395
n6725249 n6722453
n3138128 n3532342
n11429968 n5823932
n1527194 n1525720
a20410 a20410
n1757343 n1752165
n100889 n521562
n2561514 n2554730
n305980 n52500
v2650840 v2649830
v788057 v785008
n7636271 n7635155
a2501367 a2501367
a2726151 a2726151
a713853 a713853
n4671841 n4670531
n109227 n106272
n9589444 n9589444
a2799016 a2799016
v2072159 v2069888
n12370384 n11567411
n2727016 n3848729
n2477782 n2469914
n3682189 n8578706
n7117193 n6284225
n1092315 n1092315
n9516498 n9516498
r506715 r506715
n14015148 n14010148
n981711 n955060
v1386741 v356258
n6764867 n6762711
n2752039 n3285912
n14882248 n14881303
n1224517 n1220984
n3946933 n14778436
n5077524 n5075602
n12982468 n12992868
n14823944 n14662574
n3006398 n4306080
n9154178 n9154178
n7240549 n7238694
n1067362 n1066163
a1260584 a1260584
v544136 v371264
n4088696 n3339643
n569474 n566135
n14422035 n14418395
n14941087 n14939445
n14436667 n13948136
n7181713 n7181546
n8179033 n168658
a2995864 a2995864
n7470671 n7456188
n1552192 n1507175
n14284876 n14276936
n8611339 n8521816
n4778630 n4778630
v656292 v657260
n15268367 n15180528
n12791064 n12791064
v1748273 v1747945
n15293328 n13575869
n9541434 n9540430
n8420839 n8054721
n15220385 n13575869
n14666758 n14662574
n8973202 n8973202
a2981224 a2981224
n6245816 n5948264
v221840 v220869
a772137 a772137
v1978340 v1976841
v2493666 v2480923
n10247044 n10247044
n4245847 n3305522
n2609951 n1432517
n5459457 n6484
n13887509 n13867492
r349587 r349587
n594477 n582388
r18189 r18189
n8170686 n8189659
n9325963 n9325963
n9193772 n9193772
n4520170 n4490091
a2956272 a2956272
n712031 n621627
n9227530 n9224911
r374520 r374520
n3814348 n3892891
a497808 a497808
n14652104 n14622893
n9129187 n9129187
n8650919 n8650919
r82765 r82765
v78401 v78401
n12957467 n8108972
a1235568 a1235568
a556611 a556611
n2923802 n4008947
n13354769 n13354420
n5136343 n5136150
n4534779 n3931044
v1787822 v1787822
v2527431 v2526085
n4837425 n4835724
n14725591 n14662574
n4994126 n4993882
n6475933 n6470073
n14259865 n14257779
n10830229 n10830229
a1176787 a1176787
n12081488 n11556857
v1117086 v1116585
n3755545 n14778436
n13295972 n13275847
n12477163 n13121104
n6206210 n6205154
n1297484 n1297484
n7787980 n7555863
a399479 a399479
n7871720 n7557434
n6049091 n6043075
n330984 n279835
r276145 r276145
n10188226 n10707804
a2588915 a2588915
n9017005 n9017005
v813495 v813044
n10555936 n10794014
n4206225 n3094503
n14377830 n14373582
v2218924 v2217266
a786790 a786790
v1215421 v1215421
n11238511 n11238511
v681281 v670261
n4049098 n4306080
n1889074 n1889074
a1005410 a1005410
a2212473 a2212473
n3598385 n3598385
v1470524 v1470225
n2693246 n4306080
v1445597 v1394464
n8072287 n8054721
n667847 n667847
n2825442 n4489008
v30463 v224901
v2047148 v2046755
n6916601 n6904171
n6338278 n6284225
a1827946 a1827946
a3137840 a3137840
n8409617 n8284481
r178028 r178028
n12996225 n7992450
a2378191 a2378191
a3064382 a3064382
n14823547 n14823547
n10805501 n9681351
a2187465 a2187465
n7313636 n7301336
n10095664 n10466918
a2633115 a2633115
a1308425 a1308425
n9213076 n9213076
a410668 a410668
n9081560 n9081560
n6147522 n5999797
v1445407 v1445407
n6627450 n6349220
n8639951 n8578706
a1044240 a1044240
a2672729 a2672729
n6843148 n6841365
n569073 n566135
n5680684 n5678932
n12609968 n13121544
a688947 a688947
n4837615 n4835724
n15195059 n15184170
n12811027 n12811027
n6172502 n5999797
a1490257 a1490257
a2838470 a2838470
n7700439 n7555863
n3550916 n3944672
n3716656 n3178782
a1058854 a1058854
n7504343 n26192
n5450370 n5449268
n7748416 n7705711
n3452449 n3177349
n2345213 n8108972
a865007 a865007
a1019283 a1019283
v196024 v195342
n9516881 n9516881
n11429238 n11418750
n13657489 n13603305
n10732010 n10340312
n14304060 n5823932
n6593542 n6593296
n13031956 n8108972
n2839758 n3269401
a1563713 a1563713
n11493827 n11493827
n7215185 n7213395
a2476637 a2476637
n594070 n582388
n3031422 n3666591
n1684012 n8108972
n5063564 n5062748
n7602829 n7555863
n897811 n894552
n3261776 n3269401
n14534333 n14530061
n2575590 n2552171
n4593077 n3001627
n1454545 n2514825
n2825153 n4341686
n12536455 n11567411
n5038593 n5038593
n14172558 n14171682
n9707587 n9620794
n2311879 n2311060
n3702067 n4180314
n4113641 n4566257
a831696 a831696
n13848149 n14429985
n3236735 n4596852
n1889328 n7992450
n1698640 n1661091
v485274 v484166
n11210105 n11210105
r203526 r203526
v1518924 v1518924
n1190364 n1181475
n7445480 n7445480
n14798039 n14899152
n6857726 n6865345
v2033137 v2033137
n10771636 n10771636
a879624 a879624
n12272239 n12269652
n8650305 n8649345
n6568552 n6568552
n10937364 n10937364
n1914830 n1905661
n10418735 n7846
n13222669 n8108972
n5641089 n5640433
a1524102 a1524102
n5498300 n5462674
a1597105 a1597105
n12791790 n12791790
v412292 v412292
a2403671 a2403671
a1274524 a1274524
n2149136 n7992450
n9732544 n7942152
n9502298 n5625465
n692506 n692130
n7939159 n31264
r43436 r43436
n4186624 n4598582
v1195804 v1158181
a1333477 a1333477
n1381044 n1326291
v1930738 v1835496
n3163222 n3098140
r276528 r276528
n7661165 n7555863
n13452947 n13493998
r467269 r467269
a2055617 a2055617
n13755957 n13576355
n5195362 n5190804
n810234 n809465
n10502576 n7347
r130000 r130000
v451838 v146138
a2731616 a2731616
a1010862 a1010862
a458664 a458664
v788184 v788184
n6015700 n5796750
n5122419 n5107765
v1313592 v1332730
n13079953 n8108972
n5871362 n5870916
n8855609 n8855609
n751398 n749574
n7807317 n7557434
n4318982 n3294048
a399715 a399715
v1156291 v1155687
n6818121 n6817623
n9457979 n9366017
v715239 v634472
n11420831 n7939382
n8757132 n8757132
n15063224 n14586258
n8106661 n7992450
a419058 a419058
n3643149 n3739693
a3123296 a3123296
v1641545 v1640855
n8033194 n8033194
a2535533 a2535533
n7543910 n7543910
n3177856 n3305522
n10022645 n9605289
a1431938 a1431938
n13124164 n4475
v1181295 v1181295
a2114483 a2114483
n56688 n42757
n4646990 n4646548
n4969431 n4959672
r492269 r492269
n5616092 n5617107
n8434622 n8435388
n1238847 n1237415
v294522 v294245
n9482916 n9482916
n14074041 n14061805
n10976997 n10976997
n8072837 n8056231
n13682450 n13662703
a3078975 a3078975
n437219 n621627
n2634414 n1432517
v510713 v508032
n15161631 n15161631
n3222176 n4105893
n7964144 n7951464
n15122011 n28270
n9541809 n9540430
a831603 a831603
a292872 a292872
a1852924 a1852924
n2609466 n1432517
n8591486 n8651247
n4304375 n3789946
n3598930 n3414162
a1998535 a1998535
a1754421 a1754421
n3559373 n3277771
n15220503 n13575869
n13163803 n13129165
n4015204 n4015204
n4607398 n4607398
v1978700 v1979901
n6436717 n6436717
n8650391 n8649345
n12693244 n12690653
n9384532 n9384532
n7347051 n7345593
n4568069 n3736970
n1165337 n1160342
n2791270 n4202417
v2723733 v2697725
n6279326 n6251781
n14049098 n14501726
n2174153 n1759182
n2477028 n2469914
n10687826 n10741590
n14206477 n14204950
n9839436 n10340312
n9937903 n9614315
n7386614 n7382572
n1880937 n7992450
n14548913 n14547369
a2212914 a2212914
n7636126 n7635155
n13545184 n13549672
n4921576 n4921576
a1886241 a1886241
n7156219 n7155661
n13329489 n32613
n5787498 n5669934
v1939037 v1835496
n14475405 n13920429
a3030919 a3030919
a1695505 a1695505
n246460 n199130
n13090248 n13088096
a228294 a228294
n10648237 n10648237
n6495000 n6495000
n11513179 n11419404
n726369 n722061
v1254692 v173338
v1689589 v1690294
n3618101 n3014440
n7871810 n7557434
n7832202 n7809096
n2017335 n1507175
n799409 n795720
n10687728 n9790482
n2081927 n2062017
n10227985 n9617867
v1122906 v1090335
n9937802 n10677713
n8047890 n8009834
n2957008 n3057021
n8796707 n8796707
a517554 a517554
n13800115 n13796779
r492168 r492168
n535732 n534849
n10443659 n10423589
n14500908 n13920835
v2591455 v2591455
n4029734 n3733925
v1063930 v740577
n9609155 n9608709
n12438046 n7992450
n13814755 n13813042
n3800485 n4598582
n7181208 n7180787
n13354420 n13354420
n10213319 n9811712
r360414 r360414
a1142666 a1142666
n8361924 n8367880
n81572 n41899
v1700326 v1699896
n3079494 n3294048
n14231330 n14061805
v2375748 v2375131
n4343919 n8578706
n14691231 n14727670
v1504298 v1380638
v2625339 v2624263
r144722 r144722
a2706691 a2706691
a2080577 a2080577
a2305176 a2305176
n13584746 n13583724
n11258096 n11258096
n9575140 n9575140
a1406853 a1406853
n11527767 n11419404
a2560402 a2560402
r2296 r2296
v813790 v813978
n6784317 n6599788
n9673779 n9641757
n13559782 n13526110
n3138217 n4451818
v2361100 v2238085
n12752205 n13109733
v1097309 v2434976
a2344793 a2344793
a312234 a312234
n462116 n462116
n1395773 n1326291
a3039314 a3039314
n6759349 n6756407
n7846802 n7843775
n14040660 n14035298
n2923535 n3045337
a1813289 a1813289
n9864429 n10317007
n6231328 n5946687
n3584254 n3278248
n476788 n280853
a267871 a267871
a1117677 a1117677
n3775071 n3051540
n6422032 n6417598
n3873416 n3837422
n15136723 n15118228
n2443683 n8108972
n4994413 n4992163
n3946162 n2671421
a1479940 a1479940
a2779530 a2779530
a1176057 a1176057
a351818 a351818
n3368508 n3368141
n4461294 n3670849
n10370286 n9605289
a542501 a542501
n8008254 n8008017
n14764617 n14764061
n12115383 n12102133
n8698379 n8544813
a29343 a29343
n10962302 n10962302
n7577374 n7573696
n9600764 n9600764
n1566888 n7992450
n11165854 n11165854
n2370265 n5327767
n5439942 n8459252
n1816474 n1789386
n8493064 n8574314
n4730797 n5093890
n883297 n883297
v1215137 v1215137
n5919866 n5833840
n7470545 n7456188
n14318714 n24720
r105162 r105162
n11126295 n11126295
v2639905 v2417504
a2016001 a2016001
v1386611 v356258
n8914573 n8914573
a2285969 a2285969
v1807314 v1787955
n4054795 n5075602
n11934041 n11669921
n7773428 n7773428
n11889847 n11567411
n10129585 n10605985
v1773346 v1776727
n11611561 n11608250
n13789281 n13783581
n1033458 n1029406
r408865 r408865
n330457 n279835
n14955391 n14984973
a1274626 a1274626
n14725024 n20090
v544011 v544011
n9589748 n9589748
n13295657 n13275847
n1948154 n7992450
n2766320 n2766320
n4245508 n4202417
r119798 r119798
v1846916 v1846916
n10477077 n10477077
n1987727 n1974773
n11973634 n11973341
v847158 v843468
v1288052 v1288052
n5464939 n5238036
n3912821 n2726305
n12140358 n12102133
a385188 a385188
n11659500 n8108972
a1622505 a1622505
n2101108 n2087122
v2434541 v2434541
n13873213 n7999699
a938441 a938441
a2936971 a2936971
n9923263 n10787470
v499812 v499812
n15293435 n15118228
v558673 v149583
a2462089 a2462089
n8263560 n8256968
n11468763 n11480698
n8468084 n8464601
n2286425 n2283201
v1787955 v1787955
n2384858 n2384858
n2115775 n8108972
n11948656 n11947251
n3295140 n4341686
v2165002 v644583
n3393534 n3899328
n2042342 n1507175
n2898093 n3285912
n10311995 n10099375
n9227683 n9227683
n11909048 n7992450
n11199234 n11199234
n4534651 n3851341
v1372026 v1372026
n148057 n199707
n4520020 n3892891
n12345709 n11567411
n3789603 n3309808
n10614812 n10614812
n14969994 n14806838
v137791 v137313
n14343735 n5823932
n3511333 n4451818
n10878530 n10878530
n10095550 n9630641
n2418648 n8108972
n6206334 n6205154
a2608244 a2608244
n7930864 n7881800
n8880529 n8880529
a640931 a640931
n10252921 n10709529
v519056 v519056
v123170 v123170
n2140719 n8108972
n13932045 n24720
n5391540 n5221895
a1249621 a1249621
n1650690 n1650167
n9648743 n9644820
n14001031 n14001031
v2072673 v1992503
a169432 a169432
a2319765 a2319765
n2404028 n1887896
n1973148 n1940736
a54364 a54364
n7254836 n7254267
n6338158 n6338158
n15229019 n5816622
n13197274 n11545524
a3137726 a3137726
n8434704 n8435388
n6843017 n6841365
v681429 v681429
n7240278 n6599788
n7288215 n7285403
n6074189 n6115476
n5680573 n5678932
a2633222 a2633222
n9056476 n9056476
v1411978 v1411085
n13413294 n13413294
n8591592 n8569998
n5229198 n5225602
n15038987 n14966667
n11948864 n11947251
v2033295 v2033295
n187710 n186634
n7518878 n7480068
n4088058 n4339291
n10746799 n9616922
n5930386 n5930136
n5268797 n5267345
n10154601 n9632274
n3452594 n4437953
n1224346 n1220984
n6133018 n6133018
n2600953 n8106934
n11454310 n11503060
v2106506 v2106506
a1117823 a1117823
n6554078 n614224
a2246410 a2246410
v2493030 v1845720
a2838592 a2838592
n11395466 n11395466
n2609302 n2607862
n10359759 n10765679
n2345340 n2329401
a1754341 a1754341
v1807170 v1815628
n11718521 n11567411
n12140511 n12102133
n11199137 n11199137
n10345100 n10787470
n12850531 n14966667
n4186709 n3154446
n13006894 n12997654
n13511755 n13489037
n6593668 n6593296
n11429356 n11524662
n9996149 n9997622
n5714466 n5714466
a1911053 a1911053
n1841288 n1838038
n2825240 n2876657
r82923 r82923
v2698178 v651991
n7700539 n7555863
n10589402 n9998101
a1524215 a1524215
v2072849 v2072849
n1684133 n1661091
n1698782 n1661091
a1538858 a1538858
n14534457 n14530061
n8395298 n8190754
v485147 v484166
n15077917 n14728724
r43347 r43347
n2081798 n2062017
n8855505 n8855505
n9830926 n10576962
n403783 n376063
a121552 a121552
n9791014 n9791530
n10673296 n9622302
n2864878 n3700963
v2302817 v2244956
